Informant-ID,Fødselsår,Kjønn (M/K),Yrke,Høyeste grad/utdanning,Viktigste sted(er) for talemåte,Alder flyttet til sted,Evt. kommentarer til flytting,Kommune,"Antall foreldre som snakker samme dialekt (0, 1 eller 2)",Din beskrivelse av dialekten på stedet du komme fra,Er du representativ dialektbruker?,Høyde (cm),Vekt (kg) (frivillig),Unnamed: 14,Opptakssted,Tekniske kommentarer til opptaket,Språklige kommentarer til opptaket,Kommentarer til opptak og lesing/uttale,Etnisitet,Fødeland,Alder flyttet fra fødeland:,Alder flyttet til Norge:,Nåværende bosted i Norge:,Eventuelle tidligere bosted i Norge:,Hvilke steder snakker du norsk? (Sett ring rundt riktig alternativ): 1) Daglig 2) 3-5 dager i uka 3) 1-2 dager i uka 4) Ikke ukentlig,Hvilke steder snakker du norsk (sett ring rundt minst ett alernativ):  1) Hjemme 2) På fritiden utenfor hjemmet 3) På jobb/ skole,Høyeste norsk-kurs (fullført årstall):,Dialekt
p2_g14_f0_1_t,1970.0,K,Timelærer ISK/ NTNU,Ph.D,"På jobb, i barnehage/ skole, på fritida",,,,,,,172.0,56.0,,NTNU,5 feilmeldinger,,,Europeisk,Bulgarsk,26,"34-37, 42",Trondheim,Oslo,1.0,"1,2 og 3",Bergenstestkurs,Utenlandsk
p2_g14_f0_2_t,1967.0,K,Datakonsulent,Master,"Jobb, venner, alt utenfor hjemme",,,,,,,160.0,49.0,,NTNU,,,"06.08.13 kl10.00 - Innleser hadde en svært negativ innstilling og var vanskelig å jobbe med. Hun følte hun ikke var nok informert, men hadde fått den hun trengte på mail. Hun gjorde ferdig opptakene, men var veldig klar på at hun ikke ville dette igjen.",Europeisk,Russisk,27,27,Trondheim,,1.0,2 og 3,"1995, Trinn 3 Dragvoll",Utenlandsk
p2_g14_f0_3_t,1986.0,K,Radiograf,Bachelor,"På fritiden, på butikken, i bibliotek",,,,,,,168.0,58.0,,NTNU,,Greide ikke si /N/; sa /ng/ i stedet. Brukte oftest /}/ i stedet for /u/; også problemer med /2/. Spesiell trykkplassering noen steder; hun ble instruert men hørte ikke alltid forskjellen selv.,,Europeisk,Polsk,26,26,Trondheim,"Egersund,en sommer for 7 år siden",3.0,2,"Stein på stein del.2, april 2013",Utenlandsk
p2_g14_f0_4_t,1983.0,K,Tollrevisor,Master (Jurist),"Jobb, hjem, venner",,,,,,,164.0,72.0,,NTNU,"Snakket veldig lavt, så lyden ble skrudd opp fullt.","Konsekvent: palatale n-er, og kunne ikke uttale /r`/",,Europeisk,Russisk,20,20,Trondheim,,1.0,"1,2 og 3","Trinn 4, NTNU 2006",Utenlandsk
p2_g14_f0_5_t,1951.0,K,Førstekonsulent,Master i pedagogikk,Jobb,,,,,,,163.0,60.0,,NTNU,,"blandet mye mellom ""o"" og ""u"".",,Europeisk,Russisk/ ukrainsk,40,40,Trondheim,,1.0,"1,2 og 3",NTNU 1995,Utenlandsk
p2_g14_f0_6_x,1968.0,K,PhD stipendiat,Master,"På jobb, på fritid",,,,,,,156.0,52.0,,NTNU,,,,Asiatisk,Russisk,30,30,Trondheim,,1.0,2 og 3,"2000, 4.Nivå",Utenlandsk
p2_g14_m0_1_t,1958.0,M,Senior forsker,PhD,Trondheim,,,,,,,182.0,88.0,,NTNU,,"Innleseren slet litt med uttalen ""OL-gren"" ble til ""UL-gren"" selv etter mange opptak.",,Europeisk,Bulgarsk,32,32,Trondheim,,1.0,2 og 3,"1994, Norsk for utlendinger",Utenlandsk
p2_g14_m0_2_t,1945.0,M,Kulturkonsulent,4 års universitetsutdanning,Trondheim (med veldig lite kontakt med trøndere),,,,,,,170.0,68.0,,NTNU,,,,Europeisk,"Bosnisk, koratisk og serbisk","49,5","49,5",Trondheim,,1.0,2 og 3,"Bergenstest 2004, NTNU trinn 4 1995",Utenlandsk
p2_g14_m0_3_t,1973.0,M,Forsker,PhD,"Utenfor hjemmet, på butikk o.l.",,,,,,,182.0,82.0,,NTNU,"Litt variabelt volum, som vanlig.",,,Europeisk,Polsk,28,28,Trondheim,,1.0,2 og 3,"Trinn 3, 2003",Utenlandsk
p2_g14_m0_4_t,1971.0,M,Førsteamanuensis,PhD,"Jobb, hjem, fritid",,,,,,,197.0,94.0,,NTNU,,,,Europeisk,Kroatisk,22,22,Trondheim,Sandnessjøen,1.0,"1, 2 og 3","Nivå 4, 1997",Utenlandsk
p2_g14_m0_5_t,1985.0,M,Lønnsmedarbeider,Bachelor,"Jobb, venner",,,,,,,183.0,85.0,,NTNU,Stemmeleiet endret seg underveis.,,,Europeisk,Bulgarisk,23,23,Trondheim,Dønna (Helgeland),1.0,1 og 3,"Bergentest, 2011",Utenlandsk
p2_g14_m0_6_x,1994.0,M,Student,Videregående skole,"Universitet, venner",,,,,,,180.0,,,NTNU,,,,Europeisk,Russisk,18,18,Trondheim,,2.0,1 og 3,"Trinn 2, 2013",Utenlandsk
p2_g14_n0_1_t,1961.0,K,Husholdsleder,Bachelor,Hjemme,,,,,,,165.0,59.0,,NTNU,Fremdeles noe lav lyd i kanal 2.,,,Slavisk,"Slovakia, Tsjekkia",11,25,Melhus,,1.0,"1,2 og 3",Bergenstest,Utenlandsk
p2_g14_n0_2_t,1986.0,K,Kontormedarbeider,Master of Environm. Sience,"Jobb, hjemme, skole",,,,,,,171.0,70.0,,NTNU,,Uttalte fotball med D. Hun merket ikke selv at hun sa det med D.,,Europeisk,Latvisk,24,24,Trondheim,,1.0,"1,2 og 3",4 (2012),Utenlandsk
p2_g14_n0_3_t,1986.0,K,Student,Mastergrad,"Venner, rideskole",,,,,,,170.0,52.0,,NTNU,"Veldig lav lyd, så måtte skru lyden veldig høyt.",,,Europeisk,Litauisk,23,24,Trondheim,,2.0,2 og 3,Trinn 4 (1 år),Utenlandsk
p2_g14_n0_4_t,1987.0,K,Student,Bachelor,Trondheim,,,,,,,163.0,53.0,,NTNU,,,,Europeisk,Polsk,24,24 (26),Trondheim,,1.0,3,Nivå 3 (2011),Utenlandsk
p2_g14_n0_5_t,1978.0,K,Førsteamanuensis,PhD,Trondheim,,,,,,,163.0,54.0,,NTNU,,,Endret fra p2_g13_n0_5_T,Europeisk,Serbisk,26,26,Trondheim,,1.0,1 og 3,Trinn 3,Utenlandsk
p2_g14_n0_6_t,1982.0,K,Student,Bachelor,Norsk-kurs,,,,,,,173.0,62.0,,NTNU,,,,Europeisk,Russisk,28,28,Trondheim,,2.0,1 og 2,Trinn 3 (2013),Utenlandsk
p2_g14_n0_7_t,1982.0,K,Butikkmedarbeider,Master,"Jobb, barnehagen",,,,,,,171.0,56.0,,NTNU,,,,Europeisk,Russisk,28,28,Trondheim,,1.0,2 og 3,Nivå 2 (2013),Utenlandsk
p2_g14_n0_8_x,1981.0,K,Student,Mastergrad,på NTNU norskkurs,,,,,,,170.0,56.0,,NTNU,,I korte ord blir v uttalt med f. Innleser har bodd i blant annet Tyskland,,Europeisk,Russisk,26 --> USA--> Russland --> 27 Norge (8 måneder) --> 28 Tyskland --> 30 Russland --> 31 Norge,31,Trondheim,,2.0,2 og 3,Norskkurs trinn 2 (2013),Utenlandsk
p2_g15_f0_1_t,1978.0,K,Førstekonsulent,Master,Jobb,,,,,,,162.0,52.0,,NTNU,,"Mangler bokstaven d i setning 16 og 17, dette kommenterte vi, men hun klarte ikke å uttale det. Bruker ulik type r, noen ganger veldig tydelig, andre nesten ikke. Vi brukte nærmere 1,5 time på opptaket..",,Asiatisk,Kinesisk,21,27,Trondheim,,1.0,2 og 3,2011/ Trinn 3,Utenlandsk
p2_g15_f0_2_t,1989.0,K,Student,Master,Skole,,,,,,,165.0,55.0,,NTNU,,/l/ for /4/ mange steder; umulig å korrigere :),,Asiatisk,Koreansk,17,17,Trondheim,Oslo,2.0,3,"2009, Nivå 3",Utenlandsk
p2_g15_f0_3_x,1980.0,K,Lærer,Universitet,Trondheim,,,,,,,156.0,46.0,,NTNU,,,,Asiatisk,Koreansk/ spansk,6,27,Trondheim,,1.0,3,,Utenlandsk
p2_g15_m0_1_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utenlandsk
p2_g15_m0_2_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utenlandsk
p2_g15_m0_3_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utenlandsk
p2_g15_n0_1_t,1962.0,K,Renholder,Fagbrev,"Hjemme, jobb",,,,,,,154.0,57.0,,NTNU,,,,Asiatisk,Filipinsk,18,18,Trondheim,,1.0,1 og 3,"Voksen opplæring, 2013",Utenlandsk
p2_g15_n0_2_t,1962.0,K,Renholder/ Ekspeditør,Universitet,Hjemme,,,,,,,162.0,70.0,,NTNU,,"F blir P, V blir B. leste høgskolen og kiosk, fikk ikke til å lese kjåsk.",,Asiatisk,Visaya,25,26,Trondheim,Elverum,1.0,1 og 3,Voksen opplæring,Utenlandsk
p2_g15_n0_3_t,1975.0,K,Renholder,Videregående,Hjemme og på jobb,,,,,,,150.0,47.0,,NTNU,,,,Asiatisk,Tagalog,20,28,Trondheim,,1.0,"1,2 og 3",1 år i voksenopplæring (2006),Utenlandsk
p2_g15_n0_4_x,1972.0,K,Student,Mastergrad,Hjemme,,,,,,,168.0,48.0,,NTNU,,"Innleseren slet veldig mye med å lese setningene, hun hadde problemer med bokstavene r,t,l og ø. l ble ofte til n, slet også med ""sh"" lyden. Det var vanskelig å rette på ord siden det dukket hele tiden opp ""nye feil"" når det ene ordet ble rettet på.",,Asiatisk,Thai,39,39,Trondheim,,1.0,1 og 3,Norskprøve 2 (2012),Utenlandsk
p2_g16_f0_1_t,1978.0,K,PhD,MSC,På jobb,,,,,,,156.0,,,NTNU,,"Leste ofte r som l, men det er jo vanlig for asiater.",Under fri tale leste innleseren fra et ark.,Asiatisk,Japansk,29,29,Trondheim,Trondheim,3.0,3,Trinn 3 på NTNU,Utenlandsk
p2_g16_f0_2_t,1973.0,K,Sekretær,Høyskole,Trondheim,,,,,,,153.0,50.0,,NTNU,,,,Asiatisk,Vietnamesisk,30,30,Trondheim,Nei,1.0,3,2005,Utenlandsk
p2_g16_f0_3_x,1959.0,K,"Byguide, vikariat i kantina",Mastergrad,"På jobb (kantine), på noen ""språk kafé"" i byen",,,,,,,172.0,78.0,,NTNU,,Vanskelig å si stokkmaur uten å legge til en liten e på slutten og ankelhøyde fikk en liten t på slutten.,,Asiatisk,Japansk,22,45,Trondheim,,2.0,3,Nivå 3 (Trinn 3 ved NTNU) 2007,Utenlandsk
p2_g16_m0_1_t,1985.0,M,Student,Master,Studie/ jobb,,,,,,,172.0,,,NTNU,,,,Asiatisk,Kinesisk,23,23,Trondheim,,1.0,3,Trinn 3,Utenlandsk
p2_g16_m0_2_t,1986.0,K,Student,Master,EVO hvor jeg studerer norsk. frikirke,,,,,,,160.0,68.0,,NTNU,Lyden varierte en del under opptakene.,"Innleser slet med en del ord, det forekom ofte at innleser la til ""e"" på slutten av et ord uten e og på ord som sluttet på ""e"" ble e-en ofte stum. R og T ble ofte byttet til L.",,Asiatisk,Kinesisk,22,22,Trondheim,,1.0,3,Nivå 2 (2014),Utenlandsk
p2_g16_m0_3_x,1983.0,M,PhD kandidat,Master,"Venner, hverdagsliv",,,,,,,168.0,77.0,,NTNU,"Innleser varierte stemmeleien fra setning til setninger og kom ut av studioen en del ganger under opptakene, slik at lyden måtte stilles hele tiden.","Innleser skilte ikke mellom bokstavene ""l"" og ""r"" og fylte ut pauser med ""e"".",,Asiatisk,Kinesisk,26,26,Trondheim,"Oslo, Trondheim",3.0,2,"Nivå 2, 2012",Utenlandsk
p2_g16_n0_1_t,1973.0,K,Førstesekretær,Bachelor,på jobb,,,,,,,159.0,60.0,,NTNU,,Hadde store problemer med L- og R-lyder. Det ble mange omtak av de fleste setningene.,,Asiatisk,Vietnamesisk,30???,10???,Trondheim,,1.0,2 og 3,Trinn 4 (2008),Utenlandsk
p2_g16_n0_2_t,1987.0,K,Student,Master,På skolen,,,,,,,160.0,,,NTNU,,"Uttaler r med l mesteparten av tiden, ch =k og 21 ble lest med ens lags r/l, men det var det hun fikk til.",,Asiatisk,Kinesisk,24,24,Trondheim,,2.0,3,Trinn (2012),Utenlandsk
p2_g16_n0_3_t,1983.0,K,Forsker,PhD,Jobb- fritiden,,,,,,,150.0,44.0,,NTNU,,"Innleser hadde litt problemer, spesielt med Apples-setningen. Vi slet mye med å få henne til å uttale ting riktig.",,Asiatisk,Vietnamesisk,18,28,Trondheim,,2.0,"1,2 og 3",Trinn 3,Utenlandsk
p2_g16_n0_4_x,1981.0,K,Regnskapskonsulent,Mastergrad,Jobb,,,,,,,163.0,45.0,,NTNU,,"Innleser slet med å skille p og b, g ble til ge ofte.",,Asiatisk,Vietnamesisk,22,28,Trondheim,,2.0,3,Trinn 3 på NTNU/ 2013,Utenlandsk
p2_g17_f0_1_t,1985.0,K,Student,Master av lingvistikk,Universitet (NTNU),,,,,,,165.0,60.0,,NTNU,,Har noen vanskeligheter med hvor trykket i setningen skal ligge. Ofte feil på o og u.,,Asiatisk,Persisk,3,3,Trondheim,,2.0,3,"Level 2, norskprøve 2",Utenlandsk
p2_g17_f0_2_t,1964.0,K,Student,Master i engelsk,,,,,,,,164.0,62.0,,NTNU,,,,Asiatisk,Persisk,47,47,Trondheim,,3.0,3,"2012 norsk trinn 1, 2013 trinn 2, 3",Utenlandsk
p2_g17_f0_3_x,1990.0,K,Student,Bachelor,"Barneskolen, ungdomskolen",,,,,,,165.0,59.0,,NTNU,,"Innleser snakket veldig bra norsk. Mistet lyden på den siste setningen vi skulle ta om igjen, så den setningen om Spigseth blir med noen pauser i.",,Asiatisk,Kurdisk persisk,12,13,Trondheim,Horten,1.0,"1,2 og 3",,Utenlandsk
p2_g17_m0_1_t,1981.0,M,Voksen opplæring,Tanntekniker,Jobb og skole,,,,,,,170.0,164.0,,NTNU,,,,Asiatisk,"Kurdisk, persisk, tyrkisk, engelsk, norsk",28,28,Trondheim,,1.0,3,Videregående 2013,Utenlandsk
p2_g17_m0_2_t,1977.0,K,Renhold,6 år barneskole,på jobb,,,,,,,176.0,83.0,,NTNU,,,,Europeisk,Kurdisk,25,25,Trondheim,,1.0,3,Skole SVO,Utenlandsk
p2_g17_m0_3_x,1983.0,M,Student,Universitet,"Skole, jobb, hjemme",,,,,,,171.0,,,NTNU,,,,Asiatisk,Kurdisk/ Persisk,16?,16?,Trondheim,,1.0,3,,Utenlandsk
p2_g17_n0_1_t,1987.0,M,Student,Master,NTNU,,,,,,,174.0,88.0,,NTNU,,,"Under ""ordet er fritt"" snakket innleser kun i 1 min og 30 sek. Han gikk tom for ting å snakke om.",Asiatisk,Farsi (persisk),21,21,Trondheim,Trondheim,1.0,2 og 3,3 -nivå,Utenlandsk
p2_g17_n0_2_t,1988.0,K,Student,Tar Bachelor,"Universitet, utenfor hjemmet",,,,,,,165.0,56.0,,NTNU,,,,Asiatisk,"Dari, Pashto, Urdu, Engelsk",20,20,Trondheim,"Skien ""Telemark""",2.0,2 og 3,"Nivå 3, 2010",Utenlandsk
p2_g17_n0_3_t,1985.0,K,Farmasøyt,Mastergrad,"på jobb, skole",,,,,,,150.0,44.0,,NTNU,Lyden varierte veldig. Derfor ble det ofte litt lavt for å unngå at det ble for høyt.,"Leste ""gården"" med engelsk r. La ofte til en e foran ord som begynner på s. prøvde å få bort e-en. ""Spigseth"" ble uttalt spiggset. Hadde en del engelske r-er.",,Asiatisk,Persisk,26,26,Trondheim,,2.0,3,"Trinn 3 Dragvoll, høst 2013/ norskprøve 3 vår 2013",Utenlandsk
p2_g17_n0_4_x,1983.0,M,Saksbehandler,Bachelor,"på jobb og skole, overalt",,,,,,,175.0,85.0,,NTNU,,,,Asiatisk (midtøsten),Kurdisk (Bardini),"16,5","16,5",Trondheim,Levanger,1.0,3,"Har gått på vgs, Norge",Utenlandsk
p2_g18_f0_1_t,1985.0,K,Universitetslektor,Master,Jobb - fritid - hjemme,,,,,,,175.0,68.0,,NTNU,,,,Europeisk - Dansk,Dansk,21,21,Trondheim,,1.0,"1,2 og 3",ikke aktuelt,Utenlandsk
p2_g18_f0_2_t,1982.0,K,Stipendiat,Master,"Jobb, venner",,,,,,,173.0,70.0,,NTNU,"Opptaket ble gjort med åpen dør til studio, pga feil med hodetelefonene",,,Europeisk,Svensk,26,26,Trondheim,Narvik,1.0,2 og 3,,Utenlandsk
p2_g18_f0_3_x,1989.0,K,Student,Bachelor,"Studie, jobb",,,,,,,180.0,,,NTNU,,,,Europeisk,Dansk,20,20,Trondheim,Bø i Telemark,1.0,"1,2 og 3",,Utenlandsk
p2_g18_m0_1_t,1952.0,M,Professor,PhD,"Universitet, fritid",,,,,,,170.0,,,NTNU,,"Snakker mest svensk til vanlig, slet med å holde seg til norsk.",,Europeisk,Svensk,38,46,Trondheim,,1.0,3,Ingen,Utenlandsk
p2_g18_m0_2_t,1972.0,M,Forsker,Ph.D,Jobb/ skole,,,,,,,182.0,83.0,,NTNU,,,,Europeisk,Færøysk,2,6-9 og 20,Trondheim,Oslo,1.0,3,,Utenlandsk
p2_g18_m0_3_x,1970.0,M,Forskningsingeniør,Sivilingeniør,"Jobb, hjemme",,,,,,,189.0,100.0,,NTNU,,,,Europeisk,Svensk,19,19,Støren,Trondheim,1.0,"1,2 og 3",,Utenlandsk
p2_g18_n0_1_t,1985.0,K,Programrådgiver ved kvalitetssenter for innvandrere,Bachelor i sosialt arbeid,"Jobb, fritid, hjemme",,,,,,,170.0,60.0,,NTNU,,,,Europeisk,"Svensk, Blandsk???",23,23,Trondheim,,2.0,3,,Utenlandsk
p2_g18_n0_2_t,1987.0,K,Student,Bachelor,Lofoten FHS,,,,,,,172.0,68.0,,NTNU,,,,Europeisk,Finlandssrenska,,26,Trondheim,Lofoten,1.0,"1,2 og 3",,Utenlandsk
p2_g18_n0_3_t,1975.0,K,Studentveileder,Mastergrad,"Jobb, svigerfamilie, venner",,,,,,,178.0,66.0,,NTNU,,,Innleser virket litt forkjølet.,Europeisk,Dansk,27,27,Trondheim,,1.0,2 og 3,Har ikke,Utenlandsk
p2_g18_n0_4_x,1989.0,K,Student,Videregående,"Skola, jobb",,,,,,,165.0,67.0,,NTNU,,,,Europeisk,Svenska,19,19,Trondheim,"Gran, 8 mil norr om Oslo",2.0,3,Ingen,Utenlandsk
p2_g19_f0_1_t,1971.0,K,Rådgiver,PhD,"Jobb, venner til barna mine, foreldre til andre barn",,,,,,,174.0,63.0,,NTNU,,,,Europeisk,Nederlandsk,35,35,Vikhammer,Trondheim,1.0,2 og 3,3 (2009),Utenlandsk
p2_g19_f0_2_t,1979.0,K,Forsker,PhD,"Moholt studentby --> hybel med snill norsk gutt, 0- kjøkken på moholt",,,,,,,174.0,62.0,,NTNU,Stemmevolumet gikk litt opp og ned,,,Europeisk,Tysk,22,22,Trondheim,Trondheim,1.0,(ACT),Trinn 4 2006 (?),Utenlandsk
p2_g19_f0_3_x,1977.0,K,Frilanser,Master,"Norskkurs i Tyskland, opphold i Trondheim (universitet)",,,,,,,177.0,,,NTNU,,,,Europeisk,Tysk,22,22,Trondheim,,1.0,2 og 3,Trinn 2/ master i nordisk,Utenlandsk
p2_g19_m0_1_t,1962.0,M,Professor i Fonetikk,PH.D,,,,,,,,183.0,75.0,,NTNU,,"Outrerte ble uttalt ""utrert""",,Europeisk,Nederlandsk,31,44,Hommelvik,"Trondheim, Vikhammer",1.0,3,"2007, Trinn 3",Utenlandsk
p2_g19_m0_2_t,1949.0,M,Professor i Fonetikk,Dr.,Lingvistisk institutt (NTNU),,,,,,,170.0,63.0,,NTNU,,,,Europeisk,Nederlandsk,1978 --> Tyskland; 1993,44,Trondheim,,1.0,"1,2 og 3","1994, Trinn3",Utenlandsk
p2_g19_m0_3_x,1949.0,M,Snekker,Dr.grad,Arbeidsplass,,,,,,,189.0,85.0,,NTNU,,,,Europeisk,Tysk,38,38,Trondheim,,1.0,"1,2 og 3","1987, Jamføringskurs Dragvoll/ 1år",Utenlandsk
p2_g19_n0_1_t,1966.0,K,Professor ved NTNU,???,,,,,,,,172.0,,,NTNU,,,,Europeisk,Tysk,31,39,Trondheim,,2.0,3,Trinn 4; 2008,Utenlandsk
p2_g19_n0_2_t,1971.0,K,Forsker,"Matematikk, Sivil ing. (master)","På jobb, på skole til barua barnehage",,,,,,,180.0,79.0,,NTNU,,,,Europeisk,Tysk,36,36,Trondheim,,1.0,"1,2, og 3","0,5",Utenlandsk
p2_g19_n0_3_t,1965.0,M,Geolog/ leder,PhD,"Trøndelag, på jobb (internasjonalt miljø), vennekrets i Trondheim, ??? venner",,,,,,,184.0,78.0,,NTNU,,,,Europeisk,Tysk,32,32,Trondheim,,1.0,2 og 3,"Nivå 4, 2000",Utenlandsk
p2_g19_n0_4_x,1957.0,K,Universitetslektor,Master,Jobb (universitet),,,,,,,171.0,60.0,,NTNU,,,,Europeisk,Tysk,40,40,Trondheim,Bodd i Sverige et halvt år,1.0,3,Vet ikke,Utenlandsk
p2_g20_f0_1_t,1984.0,K,Student,Bachelor,Hjemme/ skole/ venner,,,,,,,170.0,60.0,,NTNU,,,,Brasiliansk/ Norsk,Protugisisk,20,Fra 2004-2005/ Fra 2008,Trondheim,Voss/ Hamar,1.0,"1,2 og 3",3 måneder på SEVO i høyeste nivå--> så Bergenstest,Utenlandsk
p2_g20_f0_2_t,1978.0,K,Koordinator norskkursene,Master,Jobb,,,,,,,173.0,,,NTNU,3 feilmeldinger,Innleser var fra Ålesund og kj-lyder ble konsekvent uttalt c__C,"Setning 36 var skrevet på nordnorsk, med ""æ"" og ""e"" for ""jeg"" og ""er"". Lydene ble lest som skrevet.",Europeisk,"Italiensk, nederlandsk",20,28,Trondheim,Ålesund,1.0,2 og 3,Bergenstesten (2007),Utenlandsk
p2_g20_f0_3_x,1980.0,K,Førstekonsulent,Universitet/ Simultan tolk,Jobb,,,,,,,161.0,53.0,,NTNU,2 feilmeldinger,,,Europeisk,Italiensk,16,28,Trondheim,,1.0,3,Trinn 2,Utenlandsk
p2_g20_m0_1_t,1978.0,M,Avdelingsingeniør (Biologi),Mastergrad,"Fritidsaktiviteter (tur, ski osv) Tv, radio, venner",,,,,,,177.0,79.0,,NTNU,,Sleit med å få med schwa i slutten av ord etter ustemte konsonanter.,,"Europeisk, middelhav?",Portugisisk,22,24,Trondheim,,1.0,2 og 3,"Trinn 4, 2005",Utenlandsk
p2_g20_m0_2_t,1972.0,M,Geolog,PhD,"Tromsø - Trondheim - Oslo, hjemme og jobb",,,,,,,181.0,72.0,,NTNU,,"""a"" i trykklette stavelser ble nesten konsekvent schwa, selv etter en del retting på uttale.",,Europeisk,Italiensk,30,30,Trondheim,Tromsø,1.0,"1,2 og 3",1,Utenlandsk
p2_g20_m0_3_x,1993.0,M,Student,Videregående,"Skole, trening",,,,,,,170.0,60.0,,NTNU,,"Mye ""eehh"" mellom ord i opptak.",,Latinamerikansk,Spansk,15,15,Trondheim,Oslo,1.0,2 og 3,2010,Utenlandsk
